Column1;Column2;Column3;Column4;Column5
29.335.625/0001-96;LIBER COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA;RUA MANOEL BATISTA,55,CENTRO,PARA DE MINAS,MG,BRAZIL;-19.8584592;-44.60803340000002
01.569.818/0001-92;POSTOS PMG - PARA DE MINAS LTDA;AVENIDA OVIDIO DE ABREU,16,VILA LARA,PARA DE MINAS,MG,BRAZIL;-19.87256300000001;-44.60244319999999
04.510.593/0001-97;POSTO J H S LTDA;RUA JOAO DO NETO,220,CENTRO,PARA DE MINAS,MG,BRAZIL;-19.86850279999998;-44.60223059999998
19.657.402/0001-91;AUTO POSTO ALMEIDA LTDA;AVENIDA PRESIDENTE VARGAS,892,SAO FRANCISCO,PARA DE MINAS,MG,BRAZIL;-19.86475949999999;-44.59497349999999
02.681.911/0001-57;POSTO PARA LTDA;RUA PADRE LIBERIO,1000,JK,PARA DE MINAS,MG,BRAZIL;-19.8385905;-44.613513
53.076.720/0001-05;POSTO CAVALO BRANCO LTDA;RUA FORMOSA,178,CENTRO,PASSOS,MG,BRAZIL;-20.71627280000001;-46.61033029999999
03.652.860/0001-06;AUTO POSTO NOVO TOCANTINS LTDA;RUA   TRES DE MAIO,56,CENTRO,PASSOS,MG,BRAZIL;-20.72370079999998;-46.60728369999999
14.533.037/0001-90;BARAO AUTO POSTO LTDA;RUA MATO GROSSO,1428,JARDIM COLEGIO DE PASSOS,PASSOS,MG,BRAZIL;-20.71187800000001;-46.59918379999998
08.892.406/0001-38;AUTO POSTO SILVA & OLIVEIRA LTDA;RUA DOS COMERCIANTES,1010,MONSENHOR MESSIAS,PASSOS,MG,BRAZIL;-20.73997070000001;-46.60132549999997
07.519.129/0002-30;AUTO POSTO ARUANA LTDA;RUA CONTORNO,461,CENTRO,PASSOS,MG,BRAZIL;-20.71877499999999;-46.6019217
07.519.129/0001-50;AUTO POSTO ARUANA LTDA;RUA PARATI,2203,RECANTO DA HARMONIA,PASSOS,MG,BRAZIL;-20.704326;-46.59442280000002
05.346.656/0002-65;POSTO RODA BRANCA LTDA;RUA DOUTOR CARVALHO,222,CENTRO,PASSOS,MG,BRAZIL;-20.7243034;-46.60838509999999
05.346.656/0001-84;POSTO RODA BRANCA LTDA;AVENIDA JUCA STOCKLER,1973,JOAO PAULO II,PASSOS,MG,BRAZIL;-20.74072010000001;-46.60143679999999
