id,cnpj,endereco,estado,lat,lon,municipio,nome,cidade,bairro,cep,numero,fonte_coordenada
19350,10.512.557/0001-65,RUA CAINGANGS,SP,-21.92945139999999,-50.51830949999999,,FRIOL & CIA LTDA,TUPA,VILA GIOVANETTI,17600-494,27,MANUAL
15869,01.820.806/0018-37,RUA JOSE ENRIQUE ARI FERNANDES,SP,-21.94111090000002,-50.5210792,,REDE LK DE POSTOS LTDA,TUPA,VILA DAS INDUSTRIAS,17604-170,2071,MANUAL
18936,01.288.777/0001-66,RUA PEDRO PAVANELLI,SP,-21.9363376,-50.49550460000001,,FALEIROS & CIA LTDA,TUPA,JD STA MARIA,17602-045,30,MANUAL
18710,04.996.223/0001-01,RUA AIMORES,SP,-21.92493049999999,-50.5156964,,AUTO POSTO BICHIM IV LTDA,TUPA,CENTRO,17601-020,816,MANUAL
18458,05.484.612/0001-10,RUA BOTOCUDOS,SP,-21.9446189,-50.5082619,,J.C. COMBUSTIVEIS LTDA,TUPA,CENTRO,17600-030,2000,Manual
16370,69.225.480/0001-95,RUA NHAMBIQUARAS,SP,-21.93304399999998,-50.52356589999999,,RUIVO & MURINELLI LTDA,TUPA,CENTRO,17605-030,185,MANUAL
18368,08.362.201/0001-40,AVENIDA PADRE MANOEL DA NOBREGA,SP,-23.4111539,-45.0603998,,AUTO POSTO PORTAL PEREQUE-ACU LTDA,UBATUBA,PEREQUE-ACU,11680-000,2240,Manual
17682,16.628.227/0001-16,PRACA 13 DE MAIO,SP,-23.4355774,-45.07247810000002,,AUTO POSTO PEROLA DE UBATUBA LTDA,UBATUBA,CENTRO,11690-168,71,MANUAL
16321,14.314.376/0001-85,AVENIDA MADAME CURIE,SP,-23.42606300000001,-45.06791500000001,,AUTO POSTO LIDER DE UBATUBA LTDA,UBATUBA,PEREQUE-ACU,11680-000,66,MANUAL
15744,08.967.293/0001-92,RUA ANTONIO MARQUES DO VALE,SP,-23.43469569999999,-45.0849351,,UBATUBA SERVICOS AUTOMOTIVOS LTDA,UBATUBA,CENTRO,11680-000,146,MANUAL
14996,04.864.806/0001-89,RUA MARIA VITORIA JEAN,SP,-23.43409639999999,-45.0840397,,VERANEIO AUTO POSTO UBATUBA LTDA.,UBATUBA,CENTRO,11680-000,531,MANUAL
18923,15.593.566/0001-41,AVENIDA RIO GRANDE DO SUL,SP,-23.4446972,-45.08012400000001,,UMUARAMA SERVIÃOS AUTOMOTIVOS LTDA,UBATUBA,CENTRO,11680-000,1197,MANUAL
17270,11.307.599/0001-27,AVENIDA ANTONIO CARLOS RIBEIRO,SP,-23.4436113,-45.0709056,,AUTO POSTO AEROPORTO DE UBATUBA LTDA,UBATUBA,CENTRO,11680-000,0,Manual
15263,10.599.431/0001-70,RUA DONA MARIA ALVES,SP,-23.4328839,-45.0756366,,AUTO POSTO OCEANO LTDA,UBATUBA,CENTRO,11680-000,604,Manual
17493,04.736.440/0002-43,RODOVIA OSWALDO CRUZ,SP,-23.4374963,-45.0907946,,AUTO POSTO PRAIA DE SAO FRANCISCO LTDA,UBATUBA,MATO DENTRO,11680-000,770,Manual
14089,53.628.517/0001-96,RUA DOZE DE OUTUBRO,SP,-22.9628889,-46.9888991,,AUTO POSTO CINCO ESTRELAS DE VALINHOS LTDA,VALINHOS,VILA SANTANA,13274-125,759,Manual
14640,01.976.164/0001-11,RODOVIA FLAVIO DE CARVALHO,SP,-22.96093539999997,-46.98741860000001,,RRC AUTO POSTO LTDA,VALINHOS,VILA SANTANA,13273-000,149,MANUAL
